,Date,User,Tweet
0,2022-09-09 23:50:25+00:00,_leget,"@TheRealEtinosa But most times, we would have started calling for the manager's sack before the club even do it.

But this time around, I think the fans still wanted Thomas Tuchel. We didn't see it coming at all.

The club's reason for his sack is lame too"
1,2022-09-09 23:28:10+00:00,immanuel_achina,"@Neymar_BarCFC_ @Olusholzz @Blue_Footy Don't mind this Vince or whatever his name is. PRing for English agenda. Only time will tell whether this sack was will yield the needed results. Before I forget, we're being told even if we miss T4 no wahalla but if Tuchel missed, his head on the gallows right?"
2,2022-09-09 23:24:57+00:00,Merachool,"@itstelleofficia Were you expecting him to be sacked on his first season?! This was what I fear if fans continue to ""mourn"" the tuchel sack"
3,2022-09-09 23:24:01+00:00,AethernaDex,"@HDahyor @TheGr1tz @CFCPys @Matt_Law_DT So if top 4 was the aim, why sack Tuchel?"
4,2022-09-09 23:18:02+00:00,JJo19_,"@Nino12x @CFCPys Oh yes you mean spend $300 million during the summer for players that Tuchel wanted and then sack him 5 or 6 games later? They made life easier for him, they really did."
5,2022-09-09 23:17:35+00:00,Iewdawg,we didn’t even sack tuchel because of his results so talking about standards is irrelevant
6,2022-09-09 23:17:18+00:00,Gistnoww,Liverpool may sack Klopp; contract made with Tuchel as potential replacement https://t.co/uPX9CHYd2Q
7,2022-09-09 23:13:33+00:00,iamnahtay,"Na Todd Boehly start all these things, why him go sack Tuchel... Things just dey occur."
8,2022-09-09 23:13:06+00:00,jaysilva_milton,"@CFC_Dan1 Tuchel has shown that in the past that he could turn bad situations around, remember he just bought in new guys so why the rush to sack him then"
9,2022-09-09 23:08:49+00:00,richardsonjnr7,"@certifiedladd Feels weird, still can’t get over Tuchel’s sack. It’s been tough for me in the last 2 days"
10,2022-09-09 23:04:55+00:00,EgyptianEthiopi,"@CFCDaily Is it the right decision to sack Tuchel? Yes
Was the timing right? No
That’s my only issue. If you don’t trust him then sack him before you give him 300m not after"
11,2022-09-09 23:04:10+00:00,__niiamu,"I still can't get over Tuchel sack😢

Feels like Mou 2008

2021 was one of my best years, Tommy Tuchel was a big part of it"
12,2022-09-09 22:59:48+00:00,yourtypeof_guy,@CFCPys The club comes first bro....that's all I can say quit acting like ur d only guy hurt by tuchel's sack
13,2022-09-09 22:57:27+00:00,Im_JustKojo,"@jnr_just_ice Loved his project with the youngsters, eventually he turned out terrible and deserved the sack, like Tuchel"
14,2022-09-09 22:50:45+00:00,Ayomyide,"@jabarzee Coach will take the fall as you can't sack 25 players 

The only things Tuchel did in his entire stat in Chelsea FC INCLS:

- Playing James at RCB
- Not getting a DM &amp; CDM/CM
-Not pressuring for a DOF"
